lang	task	run	model	secs	a	b	c
en	schedule	1	qwen3.8-max	28.1	yes	0min	yes
en	memory	1	qwen3.8-max	13.1	yes	no	-
en	clobber	1	qwen3.8-max	-	yes	yes	yes
en	schedule	2	qwen3.8-max	28.2	yes	0min	yes
en	memory	2	qwen3.8-max	15.6	yes	no	-
en	clobber	2	qwen3.8-max	-	yes	yes	yes
en	schedule	3	qwen3.8-max	30.3	yes	0min	yes
en	memory	3	qwen3.8-max	14.5	yes	no	-
en	clobber	3	qwen3.8-max	-	yes	yes	yes
zh	schedule	1	qwen3.8-max	27.6	yes	0min	yes
zh	memory	1	qwen3.8-max	22.5	yes	no	-
zh	clobber	1	qwen3.8-max	-	no	yes	no
zh	schedule	2	qwen3.8-max	25.4	yes	0min	yes
zh	memory	2	qwen3.8-max	28.4	yes	no	-
zh	clobber	2	qwen3.8-max	-	no	yes	no
zh	schedule	3	qwen3.8-max	31.7	yes	0min	yes
zh	memory	3	qwen3.8-max	26.1	yes	no	-
zh	clobber	3	qwen3.8-max	-	no	yes	no
