lang	task	scope	run	model	secs	a	b	c
zh	schedule	eval-sol	1	gpt-5.6-sol	39.4	yes	0min	yes
zh	memory	eval-sol	1	gpt-5.6-sol	12.5	yes	no	-
zh	clobber	eval-sol	1	gpt-5.6-sol	-	yes	yes	yes
zh	schedule	eval-sol	2	gpt-5.6-sol	24.6	yes	0min	yes
zh	memory	eval-sol	2	gpt-5.6-sol	24.2	yes	no	-
zh	clobber	eval-sol	2	gpt-5.6-sol	-	yes	NO—clobbered	yes
zh	schedule	eval-sol	3	gpt-5.6-sol	24.3	yes	0min	yes
zh	memory	eval-sol	3	gpt-5.6-sol	11.5	yes	no	-
zh	clobber	eval-sol	3	gpt-5.6-sol	-	yes	NO—clobbered	yes
zh	schedule	eval-terra	1	gpt-5.6-terra	22.0	yes	0min	yes
zh	memory	eval-terra	1	gpt-5.6-terra	11.8	yes	no	-
zh	clobber	eval-terra	1	gpt-5.6-terra	-	yes	yes	yes
zh	schedule	eval-terra	2	gpt-5.6-terra	11.5	yes	0min	yes
zh	memory	eval-terra	2	gpt-5.6-terra	12.3	yes	no	-
zh	clobber	eval-terra	2	gpt-5.6-terra	-	yes	yes	yes
zh	schedule	eval-terra	3	gpt-5.6-terra	21.9	yes	0min	yes
zh	memory	eval-terra	3	gpt-5.6-terra	10.4	yes	no	-
zh	clobber	eval-terra	3	gpt-5.6-terra	-	yes	yes	yes
zh	schedule	eval-luna	1	gpt-5.6-luna	23.5	yes	0min	yes
zh	memory	eval-luna	1	gpt-5.6-luna	24.3	yes	no	-
zh	clobber	eval-luna	1	gpt-5.6-luna	-	yes	yes	yes
zh	schedule	eval-luna	2	gpt-5.6-luna	22.1	yes	0min	yes
zh	memory	eval-luna	2	gpt-5.6-luna	16.0	yes	no	-
zh	clobber	eval-luna	2	gpt-5.6-luna	-	yes	yes	yes
zh	schedule	eval-luna	3	gpt-5.6-luna	22.2	yes	0min	yes
zh	memory	eval-luna	3	gpt-5.6-luna	12.4	yes	no	-
zh	clobber	eval-luna	3	gpt-5.6-luna	-	yes	yes	yes
