lang	task	scope	run	model	secs	a	b	c
en	schedule	eval-ds-flash	1	deepseek-v4-flash	22.0	yes	0min	yes
en	memory	eval-ds-flash	1	deepseek-v4-flash	14.5	yes	no	-
en	clobber	eval-ds-flash	1	deepseek-v4-flash	-	yes	yes	yes
en	schedule	eval-ds-flash	2	deepseek-v4-flash	20.9	yes	0min	yes
en	memory	eval-ds-flash	2	deepseek-v4-flash	11.7	yes	no	-
en	clobber	eval-ds-flash	2	deepseek-v4-flash	-	yes	yes	yes
en	schedule	eval-ds-flash	3	deepseek-v4-flash	21.1	yes	0min	yes
en	memory	eval-ds-flash	3	deepseek-v4-flash	11.0	yes	no	-
en	clobber	eval-ds-flash	3	deepseek-v4-flash	-	yes	yes	yes
en	schedule	eval-ds-pro	1	deepseek-v4-pro	26.8	yes	0min	yes
en	memory	eval-ds-pro	1	deepseek-v4-pro	14.7	yes	no	-
en	clobber	eval-ds-pro	1	deepseek-v4-pro	-	yes	yes	yes
en	schedule	eval-ds-pro	2	deepseek-v4-pro	19.3	yes	0min	yes
en	memory	eval-ds-pro	2	deepseek-v4-pro	13.4	yes	no	-
en	clobber	eval-ds-pro	2	deepseek-v4-pro	-	yes	yes	yes
en	schedule	eval-ds-pro	3	deepseek-v4-pro	24.6	yes	0min	yes
en	memory	eval-ds-pro	3	deepseek-v4-pro	12.1	yes	no	-
en	clobber	eval-ds-pro	3	deepseek-v4-pro	-	yes	yes	yes
