lang	scope	run	model	changed	sentinel	added
zh	eval-sol	1	gpt-5.6-sol	yes	yes	yes
zh	eval-sol	2	gpt-5.6-sol	yes	yes	yes
zh	eval-sol	3	gpt-5.6-sol	yes	yes	yes
en	eval-terra	1	gpt-5.6-terra	yes	yes	yes
en	eval-terra	2	gpt-5.6-terra	yes	yes	yes
en	eval-terra	3	gpt-5.6-terra	yes	yes	yes
zh	eval-ds-flash	1	deepseek-v4-flash	yes	yes	yes
zh	eval-ds-flash	2	deepseek-v4-flash	yes	yes	yes
zh	eval-ds-flash	3	deepseek-v4-flash	yes	yes	yes
en	eval-opus-5	1	claude-opus-5	yes	yes	yes
en	eval-opus-5	2	claude-opus-5	yes	yes	yes
en	eval-opus-5	3	claude-opus-5	yes	yes	yes
zh	eval-qwen	1	qwen3.8-max	-	no	yes
zh	eval-qwen	2	qwen3.8-max	-	no	yes
zh	eval-qwen	3	qwen3.8-max	-	no	yes
en	eval-qwen	1	qwen3.8-max	-	yes	yes
en	eval-qwen	2	qwen3.8-max	-	yes	yes
en	eval-qwen	3	qwen3.8-max	-	yes	yes
