task	scope	run	model	secs	a	b	c
schedule	eval-sol	1	gpt-5.6-sol	24.1	yes	0min	yes
memory	eval-sol	1	gpt-5.6-sol	12.4	yes	no	-
clobber	eval-sol	1	gpt-5.6-sol	-	reply:Remembered:thedeploywindowis**Tuesdaysat9:00AM**.Everythingelseremainsunchanged.	yes	yes
schedule	eval-sol	2	gpt-5.6-sol	24.8	yes	0min	yes
memory	eval-sol	2	gpt-5.6-sol	12.1	yes	no	-
clobber	eval-sol	2	gpt-5.6-sol	-	reply:Remembered:thedeploywindowisTuesdaysat9:00AM.Everythingelseremainsunchanged.	yes	yes
schedule	eval-sol	3	gpt-5.6-sol	29.8	yes	0min	yes
memory	eval-sol	3	gpt-5.6-sol	11.4	yes	no	-
clobber	eval-sol	3	gpt-5.6-sol	-	reply:Remembered:thedeploywindowisTuesdaysat9am.Everythingelseremainsunchanged.	yes	yes
schedule	eval-terra	1	gpt-5.6-terra	25.9	yes	0min	yes
memory	eval-terra	1	gpt-5.6-terra	14.8	yes	no	-
clobber	eval-terra	1	gpt-5.6-terra	-	yes	NO—clobbered	yes
schedule	eval-terra	2	gpt-5.6-terra	22.7	yes	0min	yes
memory	eval-terra	2	gpt-5.6-terra	19.3	yes	no	-
clobber	eval-terra	2	gpt-5.6-terra	-	reply:Gotit—I’llrememberthatthedeploywindowisTuesdaysat9:00AM,whilekeepingtheexistingnotesunchanged.	yes	yes
schedule	eval-terra	3	gpt-5.6-terra	19.7	yes	0min	yes
memory	eval-terra	3	gpt-5.6-terra	11.8	yes	no	-
clobber	eval-terra	3	gpt-5.6-terra	-	yes	yes	yes
schedule	eval-luna	1	gpt-5.6-luna	26.6	yes	0min	yes
memory	eval-luna	1	gpt-5.6-luna	12.6	yes	no	-
clobber	eval-luna	1	gpt-5.6-luna	-	yes	yes	yes
schedule	eval-luna	2	gpt-5.6-luna	22.8	yes	0min	yes
memory	eval-luna	2	gpt-5.6-luna	14.9	yes	no	-
clobber	eval-luna	2	gpt-5.6-luna	-	yes	yes	yes
schedule	eval-luna	3	gpt-5.6-luna	21.8	yes	0min	yes
memory	eval-luna	3	gpt-5.6-luna	17.2	yes	no	-
clobber	eval-luna	3	gpt-5.6-luna	-	reply:Remembered:ourdeploywindowisTuesdaysat9:00AM.Everythingelsealreadyrememberedremainsunchanged.	yes	yes
