task	scope	run	model	secs	a	b	c
memory	eval-opus-5	1	claude-opus-5	9.7	yes	no	-
clobber	eval-opus-5	1	claude-opus-5	-	yes	yes	yes
memory	eval-opus-5	2	claude-opus-5	15.6	yes	no	-
clobber	eval-opus-5	2	claude-opus-5	-	yes	yes	yes
memory	eval-opus-5	3	claude-opus-5	12.2	yes	no	-
clobber	eval-opus-5	3	claude-opus-5	-	yes	yes	yes
memory	eval-sonnet-5	1	claude-sonnet-5	11.7	yes	no	-
clobber	eval-sonnet-5	1	claude-sonnet-5	-	yes	yes	yes
memory	eval-sonnet-5	2	claude-sonnet-5	10.3	yes	no	-
clobber	eval-sonnet-5	2	claude-sonnet-5	-	yes	yes	yes
memory	eval-sonnet-5	3	claude-sonnet-5	10.4	yes	no	-
clobber	eval-sonnet-5	3	claude-sonnet-5	-	yes	yes	yes
memory	eval-haiku-4-5	1	claude-haiku-4-5	11.7	yes	no	-
clobber	eval-haiku-4-5	1	claude-haiku-4-5	-	yes	yes	yes
memory	eval-haiku-4-5	2	claude-haiku-4-5	11.5	yes	no	-
clobber	eval-haiku-4-5	2	claude-haiku-4-5	-	yes	yes	yes
memory	eval-haiku-4-5	3	claude-haiku-4-5	10.8	yes	no	-
clobber	eval-haiku-4-5	3	claude-haiku-4-5	-	yes	yes	yes
memory	eval-kimi-1786974101	1	kimi-k3	21.6	yes	no	-
clobber	eval-kimi-1786974101	1	kimi-k3	-	yes	yes	yes
memory	eval-kimi-1786974101	2	kimi-k3	17.3	yes	no	-
clobber	eval-kimi-1786974101	2	kimi-k3	-	yes	yes	yes
memory	eval-kimi-1786974101	3	kimi-k3	20.3	yes	no	-
clobber	eval-kimi-1786974101	3	kimi-k3	-	yes	yes	yes
memory	eval-glm	1	glm-5.3	19.2	yes	no	-
clobber	eval-glm	1	glm-5.3	-	yes	yes	yes
memory	eval-glm	2	glm-5.3	18.7	yes	no	-
clobber	eval-glm	2	glm-5.3	-	yes	yes	yes
memory	eval-glm	3	glm-5.3	22.4	yes	no	-
clobber	eval-glm	3	glm-5.3	-	yes	yes	yes
memory	eval-orauto	1	openrouter/auto	16.4	yes	no	-
clobber	eval-orauto	1	openrouter/auto	-	yes	yes	yes
memory	eval-orauto	2	openrouter/auto	44.7	yes	no	-
clobber	eval-orauto	2	openrouter/auto	-	yes	yes	yes
memory	eval-orauto	3	openrouter/auto	16.1	yes	no	-
clobber	eval-orauto	3	openrouter/auto	-	yes	yes	yes
