run	model	wrote	sentinel	added	reply
1	claude-opus-5	yes	yes	yes	(no reply)
1	gpt-5.6-sol	NO — unchanged	yes	no	(no reply)
1	deepseek-v4-flash	yes	yes	yes	(no reply)
1	qwen3.8-max	yes	yes	yes	(no reply)
2	claude-opus-5	NO — unchanged	yes	no	(no reply)
2	gpt-5.6-sol	yes	yes	yes	(no reply)
2	deepseek-v4-flash	NO — unchanged	yes	no	(no reply)
2	qwen3.8-max	yes	yes	yes	(no reply)
3	claude-opus-5	yes	yes	yes	(no reply)
3	gpt-5.6-sol	NO — unchanged	yes	no	(no reply)
3	deepseek-v4-flash	yes	yes	yes	(no reply)
3	qwen3.8-max	yes	yes	yes	(no reply)
