task	scope	run	model	secs	a	b	c
memory	eval-sol	1	gpt-5.6-sol	23.1	yes	no	1
clobber	eval-sol	1	gpt-5.6-sol	-	yes	yes	yes
memory	eval-sol	2	gpt-5.6-sol	12.2	yes	no	1
clobber	eval-sol	2	gpt-5.6-sol	-	yes	yes	yes
memory	eval-sol	3	gpt-5.6-sol	34.0	yes	no	1
clobber	eval-sol	3	gpt-5.6-sol	-	yes	yes	yes
memory	eval-terra	1	gpt-5.6-terra	9.6	yes	no	1
clobber	eval-terra	1	gpt-5.6-terra	-	yes	yes	yes
memory	eval-terra	2	gpt-5.6-terra	11.3	yes	no	1
clobber	eval-terra	2	gpt-5.6-terra	-	no	yes	no
memory	eval-terra	3	gpt-5.6-terra	9.3	yes	no	1
clobber	eval-terra	3	gpt-5.6-terra	-	no	yes	no
memory	eval-luna	1	gpt-5.6-luna	21.2	yes	no	1
clobber	eval-luna	1	gpt-5.6-luna	-	yes	yes	yes
memory	eval-luna	2	gpt-5.6-luna	8.4	yes	no	1
clobber	eval-luna	2	gpt-5.6-luna	-	yes	yes	yes
memory	eval-luna	3	gpt-5.6-luna	10.7	yes	no	1
clobber	eval-luna	3	gpt-5.6-luna	-	yes	yes	yes
