task	scope	run	model	secs	a	b	c
memory	eval-opus-5	1	claude-opus-5	9.6	yes	no	1
clobber	eval-opus-5	1	claude-opus-5	-	yes	yes	yes
memory	eval-opus-5	2	claude-opus-5	16.0	yes	no	1
clobber	eval-opus-5	2	claude-opus-5	-	yes	yes	yes
memory	eval-opus-5	3	claude-opus-5	10.6	yes	no	1
clobber	eval-opus-5	3	claude-opus-5	-	yes	yes	yes
memory	eval-sonnet-5	1	claude-sonnet-5	9.8	yes	no	1
clobber	eval-sonnet-5	1	claude-sonnet-5	-	yes	yes	yes
memory	eval-sonnet-5	2	claude-sonnet-5	10.4	yes	no	1
clobber	eval-sonnet-5	2	claude-sonnet-5	-	yes	yes	yes
memory	eval-sonnet-5	3	claude-sonnet-5	11.8	yes	no	1
clobber	eval-sonnet-5	3	claude-sonnet-5	-	yes	yes	yes
memory	eval-haiku-4-5	1	claude-haiku-4-5	9.6	yes	no	1
clobber	eval-haiku-4-5	1	claude-haiku-4-5	-	yes	yes	yes
memory	eval-haiku-4-5	2	claude-haiku-4-5	13.0	yes	no	1
clobber	eval-haiku-4-5	2	claude-haiku-4-5	-	yes	yes	yes
memory	eval-haiku-4-5	3	claude-haiku-4-5	10.9	yes	no	1
clobber	eval-haiku-4-5	3	claude-haiku-4-5	-	yes	yes	yes
memory	eval-kimi-1786974101	1	kimi-k3	22.9	yes	no	1
clobber	eval-kimi-1786974101	1	kimi-k3	-	yes	yes	yes
memory	eval-kimi-1786974101	2	kimi-k3	26.3	yes	no	1
clobber	eval-kimi-1786974101	2	kimi-k3	-	yes	yes	yes
memory	eval-kimi-1786974101	3	kimi-k3	18.2	yes	no	1
clobber	eval-kimi-1786974101	3	kimi-k3	-	yes	yes	yes
memory	eval-glm	1	glm-5.3	19.0	yes	no	1
clobber	eval-glm	1	glm-5.3	-	yes	yes	yes
memory	eval-glm	2	glm-5.3	20.5	yes	no	1
clobber	eval-glm	2	glm-5.3	-	yes	yes	yes
memory	eval-glm	3	glm-5.3	18.8	yes	no	1
clobber	eval-glm	3	glm-5.3	-	yes	yes	yes
