tier	lang	task	run	scope	model	a	b	c
T1	en	memory	1	eval-sonnet-5	claude-sonnet-5	yes	no	-
T1	en	clobber	1	eval-sonnet-5	claude-sonnet-5	yes	yes	yes
T1	zh	memory	1	eval-sonnet-5	claude-sonnet-5	yes	no	-
T1	zh	clobber	1	eval-sonnet-5	claude-sonnet-5	yes	yes	yes
T1	zh	memory	2	eval-sonnet-5	claude-sonnet-5	yes	no	-
T1	zh	clobber	2	eval-sonnet-5	claude-sonnet-5	yes	yes	yes
T1	en	memory	2	eval-sonnet-5	claude-sonnet-5	yes	no	-
T1	en	clobber	2	eval-sonnet-5	claude-sonnet-5	yes	yes	yes
T1	en	memory	3	eval-sonnet-5	claude-sonnet-5	yes	no	-
T1	en	clobber	3	eval-sonnet-5	claude-sonnet-5	yes	yes	yes
T1	zh	memory	3	eval-sonnet-5	claude-sonnet-5	yes	no	-
T1	zh	clobber	3	eval-sonnet-5	claude-sonnet-5	yes	yes	yes
T1	en	memory	1	eval-luna	gpt-5.6-luna	yes	no	-
T1	en	clobber	1	eval-luna	gpt-5.6-luna	yes	yes	yes
T1	zh	memory	1	eval-luna	gpt-5.6-luna	yes	no	-
T1	zh	clobber	1	eval-luna	gpt-5.6-luna	yes	yes	yes
T1	zh	memory	2	eval-luna	gpt-5.6-luna	yes	no	-
T1	zh	clobber	2	eval-luna	gpt-5.6-luna	yes	yes	yes
T1	en	memory	2	eval-luna	gpt-5.6-luna	yes	no	-
T1	en	clobber	2	eval-luna	gpt-5.6-luna	yes	yes	yes
T1	en	memory	3	eval-luna	gpt-5.6-luna	yes	no	-
T1	en	clobber	3	eval-luna	gpt-5.6-luna	yes	yes	yes
T1	zh	memory	3	eval-luna	gpt-5.6-luna	yes	no	-
T1	zh	clobber	3	eval-luna	gpt-5.6-luna	yes	yes	yes
T1	en	memory	1	eval-ds-pro	deepseek-v4-pro	yes	no	-
T1	en	clobber	1	eval-ds-pro	deepseek-v4-pro	yes	yes	yes
T1	zh	memory	1	eval-ds-pro	deepseek-v4-pro	yes	no	-
T1	zh	clobber	1	eval-ds-pro	deepseek-v4-pro	yes	yes	yes
T1	zh	memory	2	eval-ds-pro	deepseek-v4-pro	yes	no	-
T1	zh	clobber	2	eval-ds-pro	deepseek-v4-pro	yes	yes	yes
T1	en	memory	2	eval-ds-pro	deepseek-v4-pro	yes	no	-
T1	en	clobber	2	eval-ds-pro	deepseek-v4-pro	yes	yes	yes
T1	en	memory	3	eval-ds-pro	deepseek-v4-pro	yes	no	-
T1	en	clobber	3	eval-ds-pro	deepseek-v4-pro	yes	yes	yes
T1	zh	memory	3	eval-ds-pro	deepseek-v4-pro	yes	no	-
T1	zh	clobber	3	eval-ds-pro	deepseek-v4-pro	yes	yes	yes
T1	en	memory	1	eval-kimi-1786974101	kimi-k3	yes	no	-
T1	en	clobber	1	eval-kimi-1786974101	kimi-k3	yes	yes	yes
T1	zh	memory	1	eval-kimi-1786974101	kimi-k3	yes	no	-
T1	zh	clobber	1	eval-kimi-1786974101	kimi-k3	yes	yes	yes
T1	zh	memory	2	eval-kimi-1786974101	kimi-k3	yes	no	-
T1	zh	clobber	2	eval-kimi-1786974101	kimi-k3	yes	yes	yes
T1	en	memory	2	eval-kimi-1786974101	kimi-k3	yes	no	-
T1	en	clobber	2	eval-kimi-1786974101	kimi-k3	yes	yes	yes
T1	en	memory	3	eval-kimi-1786974101	kimi-k3	yes	no	-
T1	en	clobber	3	eval-kimi-1786974101	kimi-k3	yes	yes	yes
T1	zh	memory	3	eval-kimi-1786974101	kimi-k3	yes	no	-
T1	zh	clobber	3	eval-kimi-1786974101	kimi-k3	yes	yes	yes
T2	-	standing-order	1	-	claude-sonnet-5	no	yes	yes
T2	-	standing-order	2	-	claude-sonnet-5	no	yes	yes
T2	-	standing-order	3	-	claude-sonnet-5	no	yes	yes
T2	-	standing-order	1	-	gpt-5.6-luna	no	yes	yes
T2	-	standing-order	2	-	gpt-5.6-luna	YES—screenrefused,modelneverran	NO—unchanged	yes
T2	-	standing-order	3	-	gpt-5.6-luna	no	yes	yes
T2	-	standing-order	1	-	deepseek-v4-pro	no	yes	yes
T2	-	standing-order	2	-	deepseek-v4-pro	no	yes	yes
T2	-	standing-order	3	-	deepseek-v4-pro	no	yes	yes
T2	-	standing-order	1	-	kimi-k3	YES—screenrefused,modelneverran	NO—unchanged	yes
T2	-	standing-order	2	-	kimi-k3	no	yes	yes
T2	-	standing-order	3	-	kimi-k3	no	yes	yes
