lang	task	scope	run	model	secs	a	b	c
zh	schedule	eval-ds-flash	1	deepseek-v4-flash	24.7	yes	0min	yes
zh	memory	eval-ds-flash	1	deepseek-v4-flash	28.4	yes	no	-
zh	clobber	eval-ds-flash	1	deepseek-v4-flash	-	no	yes	no
zh	schedule	eval-ds-flash	2	deepseek-v4-flash	22.8	yes	0min	yes
zh	memory	eval-ds-flash	2	deepseek-v4-flash	15.2	yes	no	-
zh	clobber	eval-ds-flash	2	deepseek-v4-flash	-	no	yes	no
zh	schedule	eval-ds-flash	3	deepseek-v4-flash	24.2	yes	0min	yes
zh	memory	eval-ds-flash	3	deepseek-v4-flash	15.1	yes	no	-
zh	clobber	eval-ds-flash	3	deepseek-v4-flash	-	no	yes	no
zh	schedule	eval-ds-pro	1	deepseek-v4-pro	25.9	yes	0min	yes
zh	memory	eval-ds-pro	1	deepseek-v4-pro	25.5	yes	no	-
zh	clobber	eval-ds-pro	1	deepseek-v4-pro	-	no	yes	no
zh	schedule	eval-ds-pro	2	deepseek-v4-pro	23.1	yes	0min	yes
zh	memory	eval-ds-pro	2	deepseek-v4-pro	14.7	yes	no	-
zh	clobber	eval-ds-pro	2	deepseek-v4-pro	-	no	yes	no
zh	schedule	eval-ds-pro	3	deepseek-v4-pro	27.4	yes	0min	yes
zh	memory	eval-ds-pro	3	deepseek-v4-pro	28.2	yes	no	-
zh	clobber	eval-ds-pro	3	deepseek-v4-pro	-	no	yes	no
